philosophy,name,time,description,,,,
Ancient philosophy,Lopamudra ,born 1100 BCE,,,,,
Ancient philosophy,Maitreyi ,born about 1000 BCE ,,,,,
Ancient philosophy,Ghosha ,born vedic period,,,,,
Ancient philosophy,Gargi Vachaknavi ,born about 700 BCE,,,,,
Ancient philosophy,Theano of Croton ,6th century BCE,,,,,
Ancient philosophy,Aristoclea of Delphi ,6th century BCE,,,,,
Ancient philosophy,Khujjuttarā ,6th century BCE,,,,,
Ancient philosophy,Aspasia of Miletus ,approx. 470–400 BCE,,,,,
Ancient philosophy,Arete of Cyrene ,4th century BCE,,,,,
Ancient philosophy,Hipparchia of Maroneia ,4th century BCE,,,,,
Ancient philosophy,Nicarete of Megara ,fl. around 300 BCE,,,,,
Ancient philosophy,Catherine of Alexandria ,282–305,,,,,
Ancient philosophy,Ptolemais of Cyrene ,3rd century BCE,,,,,
Ancient philosophy,Aesara of Lucania ,3rd century BCE,,,,,
Ancient philosophy,Diotima of Mantinea ,appears in Plato's Symposium,,,,,
Ancient philosophy,Ban Zhao ,c. 35–100D2,,,,,
Ancient philosophy,Sosipatra of Ephesus ,4th century CE,,,,,
Ancient philosophy,Xie Daoyun ,before 340–after 399,,,,,
Ancient philosophy,Hypatia ,c. 360–415 CE,,,,,
Ancient philosophy,Aedesia of Alexandria ,5th century CE,,,,,
Ancient philosophy,Theodora ,5th-6th century CE,,,,,
Medieval philosophy,Ubhaya Bharati ,8th century,,,,,
Medieval philosophy,Héloïse d'Argenteuil ,1090–1164, contributed to the ethical thought of Peter Abelard.,,,,
Medieval philosophy,Akka Mahadevi ,c.1130–1160,,,,,
Medieval philosophy,Marguerite Porete ,1250–1310,,,,,
Medieval philosophy,Tullia d'Aragona ,c. 1510–1556,,,,,
Medieval philosophy,Lalleshwari ,1320–1392,,,,,
Medieval philosophy,Catherine of Siena ,1347–1380,,,,,
Medieval philosophy,Moderata Fonte ,1555–1592,,,,,
Medieval philosophy,Hildegard of Bingen ,1098–1179," German abbess, composer, and philosopher.",,,,
Medieval philosophy,Teresa of Ávila ,1515-1582,,,,,
Modern philosophy,Mary Astell ,1666–1731A B C D1 D2 R,,,,,
Modern philosophy,Damaris Cudworth Masham ,1659–1708, philosopher and theologian,,,,
Modern philosophy,Laura Bassi ,1711–1778, philosopher and physicist,,,,
Modern philosophy,Harriet Martineau ,1802-1876,,,,,
Modern philosophy,Helena Blavatsky ,1831–1891,,,,,
Modern philosophy,Frances Power Cobbe ,1822-1904,,,,,
Modern philosophy,Antoinette Brown Blackwell ,1825–1921D2,,,,,
Modern philosophy,Margaret Cavendish ,1623–1673A B C R,,,,,
Modern philosophy,Émilie du Châtelet ,1706–1749R,,,,,
Modern philosophy,Sister Nivedita ,1867–1911,,,,,
Modern philosophy,Catharine Trotter Cockburn ,1679–1749A B C R W,,,,,
Modern philosophy,Anne Conway ,1631–1679A B C D1 O R W,,,,,
Modern philosophy,George Eliot (Mary Ann Evans ,1819–1880G R,,,,,
Modern philosophy,Elisabeth of Bohemia ,1618–1680A B C R,,,,,
Modern philosophy,Sor Juana ,1648–1695,,,,,
Modern philosophy,Mary Wollstonecraft ,1759–1797,,,,,
Modern philosophy,Gauri Ma ,1857–1938,,,,,
Contemporary philosophy,Felicia Nimue Ackerman ,fl. 2014,,,,,
Contemporary philosophy,Marilyn McCord Adams ,1943–2017O,,,,,
Contemporary philosophy,Alia Al-Saji ,fl. 2014,,,,,
Contemporary philosophy,Lilli Alanen ,1941–2021,,,,,
Contemporary philosophy,Linda Martín Alcoff ,born 1955,,,,,
Contemporary philosophy,Amy Allen ,fl. 2014,,,,,
Contemporary philosophy,Alice Ambrose ,1906–2001,,,,,
Contemporary philosophy,Elizabeth Anderson ,born 1959,,,,,
Contemporary philosophy,Lou Andreas-Salomé ,1861–1937,,,,,
Contemporary philosophy,Julia Annas ,born 1946,,,,,
Contemporary philosophy,G. E. M. Anscombe ,1919–2001C O R W,,,,,
Contemporary philosophy,Louise Antony ,fl. 2014,,,,,
Contemporary philosophy,Hannah Arendt ,1906–1975, political theorist,,,,
Contemporary philosophy,Nomy Arpaly ,fl. 2014,,,,,
Contemporary philosophy,Anita Avramides ,born 1952,,,,,
Contemporary philosophy,Babette Babich ,born 1956,,,,,
Contemporary philosophy,Annette Baier ,1929–2012O,,,,,
Contemporary philosophy,Dorit Bar-On ,fl. 1990,,,,,
Contemporary philosophy,Marcia Baron ,fl. 2014,,,,,
Contemporary philosophy,Lauren Barthold,,,,,,
Contemporary philosophy,Sandra Bartky ,1935–2016,,,,,
Contemporary philosophy,Nancy Bauer ,born 1960,,,,,
Contemporary philosophy,Simone de Beauvoir ,1908–1986," author, feminist",,,,
Contemporary philosophy,Helen Beebee ,fl. 2014,,,,,
Contemporary philosophy,Seyla Benhabib ,born 1950,,,,,
Contemporary philosophy,Tina Fernandes Botts ,fl. 2014,,,,,
Contemporary philosophy,Peg Birmingham ,fl. 2014,,,,,
Contemporary philosophy,Susanne Bobzien ,born 1960,,,,,
Contemporary philosophy,Samantha Brennan ,fl. 1997,,,,,
Contemporary philosophy,Janet Broughton ,fl. 2014,,,,,
Contemporary philosophy,Teresa Blankmeyer Burke ,fl. 2014,,,,,
Contemporary philosophy,Inga Bostad ,born 1963, Norwegian philosopher and educator,,,,
Contemporary philosophy,Giannina Braschi ,born 1953,,,,,
Contemporary philosophy,Ilaria Brocchini ,born 1966,,,,,
Contemporary philosophy,Judith Butler ,born 1956,,,,,
Contemporary philosophy,Mary Whiton Calkins ,1863–1930W,,,,,
Contemporary philosophy,Joan Callahan ,,professor emerita,,,,
Contemporary philosophy,Elisabeth Camp ,fl. 2014,,,,,
Contemporary philosophy,Victoria Camps ,1941,,,,,
Contemporary philosophy,Claudia Card ,1940–2015,,,,,
Contemporary philosophy,Nancy Cartwright ,born 1944O,,,,,
Contemporary philosophy,Barbara Cassin ,born 1947,,,,,
Contemporary philosophy,Ruth Chang ,fl. 2014,,,,,
Contemporary philosophy,Patricia Churchland ,born 1943C,,,,,
Contemporary philosophy,Hélène Cixous ,born 1937R,,,,,
Contemporary philosophy,Lorraine Code ,born 1937,,,,,
Contemporary philosophy,Joyce Mitchell Cook ,1933–2014,,,,,
Contemporary philosophy,Megan Craig,,,,,,
Contemporary philosophy,Alice Crary ,fl. 2014,,,,,
Contemporary philosophy,Ann Cudd ,fl. 2014,,,,,
Contemporary philosophy,Chris Cuomo ,fl. 2014,,,,,
Contemporary philosophy,Izydora Dąmbska ,1904–1983,,,,,
Contemporary philosophy,Peggy DesAutels ,fl. 2014,,,,,
